Rank,Previous Rank,Artist Name,Weeks on Chart,Views,Weekly Growth
1,1,Alka Yagnik,323,329117335,-2.6%
2,2,Bad Bunny,318,256649321,-2.8%
3,3,Udit Narayan,344,232392518,-2.4%
4,5,Arijit Singh,353,212048228,-1.2%
5,4,Kumar Sanu,319,209184905,-2.6%
6,7,Shilpi Raj,25,163254680,12.1%
7,9,BTS,353,157945221,21.8%
8,6,Khesari Lal Yadav,238,149244301,1.6%
9,8,Lata Mangeshkar,336,140558111,-0.6%
10,18,Shakira,353,130821870,28.4%
11,16,Pawan Singh,256,128730861,18.5%
12,10,BLACKPINK,275,124492136,-2.7%
13,13,Ozuna,324,118697746,7.5%
14,14,Eminem,353,113159979,2.6%
15,11,Taylor Swift,353,113104705,-3.6%
16,12,Shreya Ghoshal,325,111730524,-0%
17,15,The Weeknd,339,108687484,-0.7%
18,19,KAROL G,271,105683034,4.9%
19,17,Anuel AA,236,104594542,0.1%
20,21,Sonu Nigam,309,92811338,2.5%
21,23,Jubin Nautiyal,185,92775745,10.3%
22,20,Rauw Alejandro,169,90665287,-9.8%
23,47,Maluma,353,87640829,57.3%
24,22,Sidhu Moose Wala,109,86221925,-4.3%
25,28,Ed Sheeran,353,76707985,0.2%
26,33,Romeo Santos,353,72999344,6.2%
27,27,J Balvin,353,72877037,-6.2%
28,26,Feid,65,72861784,-8.7%
29,32,Daddy Yankee,353,71500988,-1.6%
30,31,Neha Kakkar,320,71448847,-2%
31,29,Rihanna,353,70804620,-5.3%
32,25,Imagine Dragons,327,70284685,-12.3%
33,24,Drake,330,69500839,-15.9%
34,34,Chris Brown,335,68280125,0.1%
35,35,Justin Bieber,353,66755782,-0.9%
36,38,Bizarrap,113,65152579,1.1%
37,41,MC Ryan SP,56,63776933,6.9%
38,37,Coldplay,353,62798018,-3.7%
39,36,Farruko,284,61442241,-6%
40,,Nicki Minaj,323,59114087,
41,43,Ariana Grande,353,58818878,0.4%
42,30,Marília Mendonça,333,58493750,-21.1%
43,39,Sam Smith,187,58454219,-7.8%
44,45,Selena Gomez,277,57762867,1%
45,42,Manuel Turizo,184,57598108,-1.7%
46,,Sunidhi Chauhan,266,57352061,
47,40,Anuradha Paudwal,279,56464624,-7.7%
48,44,Anirudh Ravichander,103,56321348,-1.6%
49,49,Bruno Mars,353,53979593,-2.1%
50,80,Anupma Yadav,47,53862253,28.9%
51,51,Lady Gaga,236,53796770,-2.3%
52,61,Kavita Krishnamurthy,198,53679749,7.6%
53,59,Junior H,92,53380434,5.5%
54,58,Duki,90,52946227,4.1%
55,50,Grupo Firme,116,52819541,-4.1%
56,48,Myke Towers,186,52663677,-4.8%
57,53,Kishore Kumar,206,52200311,-1.5%
58,57,Dua Lipa,277,51680858,1.6%
59,52,S.P. Balasubramanyam,150,51362478,-5.2%
60,54,Maria Becerra,94,51313336,-1.8%
61,46,Billie Eilish,227,51293895,-8.5%
62,55,Atif Aslam,250,51087445,-2%
63,62,Mohammed Rafi,161,50530627,3.9%
64,64,David Guetta,340,49424471,2.8%
65,70,YoungBoy Never Broke Again,272,48377038,8%
66,74,ROSALÍA,152,48217721,10.4%
67,85,Michael Jackson,353,47638640,16%
68,73,Sadhana Sargam,136,47439308,8%
69,67,Sia,338,47323214,1.5%
70,63,Chencho Corleone,94,46428084,-3.6%
71,71,Katy Perry,353,46324992,3.9%
72,56,Henrique & Juliano,278,46273322,-11.2%
73,,Eladio Carrion,68,46231631,
74,69,Lil Baby,191,46222096,1.4%
75,66,Don Omar,222,45675927,-2.4%
76,79,Adele,256,44510352,4.6%
77,89,Wesley Safadão,193,44154786,9.8%
78,60,Gusttavo Lima,225,43548162,-13.4%
79,68,Sebastián Yatra,285,43206542,-5.5%
80,,Mariah Carey,127,43033826,
81,65,B Praak,162,42855076,-10.8%
82,77,Maroon 5,351,42709518,-0.8%
83,76,Asha Bhosle,154,42686654,-1.8%
84,84,Alan Walker,323,42445488,3.1%
85,,Arcangel,170,42046930,
86,75,Ankush Raja,96,41207094,-5.3%
87,86,Christian Nodal,170,41157289,0.3%
88,97,Renuka Panwar,105,40774748,5.3%
89,83,Himesh Reshammiya,176,40496431,-2%
90,,Meghan Trainor,94,40290064,
91,82,Carin Leon,94,40271488,-2.8%
92,78,A. R. Rahman,101,40211196,-5.7%
93,92,Beyoncé,352,40037313,0.6%
94,93,Priyanka Singh,151,39752181,0.2%
95,,Antra Singh Priyanka,153,39326391,
96,,Jung Kook,7,39285899,
97,88,Post Malone,297,39063778,-3.1%
98,95,Doja Cat,134,39046922,-1.1%
99,,Meet Bros,226,38225371,
100,,Aventura,222,38147455,